[2024-11-29 16:03:58,222 INFO server]: Received UpdateGlobalModel request from client 57f0a286-4eeb-40f2-a61f-15d866c01d45
[2024-11-29 16:03:58,234 INFO server]: Received UpdateGlobalModel request from client dbb2c525-8662-4cc0-aad3-49ed7f19a662
[2024-11-29 16:03:59,320 INFO server]: Received UpdateGlobalModel request from client 57f0a286-4eeb-40f2-a61f-15d866c01d45
[2024-11-29 16:03:59,337 INFO server]: Received UpdateGlobalModel request from client edd3cab8-b27a-4f3e-a438-17313ebb3800
[2024-11-29 16:03:59,354 INFO server]: Received UpdateGlobalModel request from client 794e7f6e-8e20-4ef6-82a0-88e21b389ad2
[2024-11-29 16:03:59,389 INFO server]: Received UpdateGlobalModel request from client dbb2c525-8662-4cc0-aad3-49ed7f19a662
[2024-11-29 16:03:59,408 INFO server]: Received InvokeCustomAction close_connection request from client 794e7f6e-8e20-4ef6-82a0-88e21b389ad2
[2024-11-29 16:03:59,409 INFO server]: Received InvokeCustomAction close_connection request from client edd3cab8-b27a-4f3e-a438-17313ebb3800
[2024-11-29 16:03:59,410 INFO server]: Received InvokeCustomAction close_connection request from client dbb2c525-8662-4cc0-aad3-49ed7f19a662
[2024-11-29 16:03:59,412 INFO server]: Received InvokeCustomAction close_connection request from client 57f0a286-4eeb-40f2-a61f-15d866c01d45
